Body_Name ,Date,Transaction_Number,Amount,Supplier_Name,Supplier_ID,Expense_Area,Expense_Type,Expense_Code,Extended_Description,Service_Code,Service_Label,Service Division Label,Service Division Code
West Wickham District Council,07/04/2017,156410,994,LAN 2 LAN LTD,LAN034,Information Technology Manager,IT Contracts & Maintenance,2062,FORTINET FORTI ANALYSER MAR16/SEPT17,INFTEC,Information Technology,102,Information Technology
West Wickham District Council,07/04/2017,156411,1860,IAN CANNON LTD,CAN004,Legal Services Manager,Building Maintenance,1000,REPAIR WALL AT SHAP CHURCH,LANDMA,Land Management,1007,Land Management
West Wickham District Council,07/04/2017,156436,750,FLORENCE MADDEN ASSOCIATES,FLO004,HR,Training Expenses,60,TRAINING,STADEV,Staff Development,224,Staff Training DoF
West Wickham District Council,07/04/2017,156460,500,KAREN MACDOUGALL MA DIP ARCH,MCD001,Commercial Services Manager,Other charges for services,2047,Easter workshop Project,MUSEUM,Museum,2089,Education programme
West Wickham District Council,07/04/2017,156461,1214.07,ACS BUSINESS SUPPLIES LTD  *CCS*,ACS002,Information Technology Manager,Supplies general,2015,HP250 G5 X 3,COMMEM,Committee and Member Costs,1081,Member I T Costs
West Wickham District Council,07/04/2017,156404,640.8,RH ENVIRONMENTAL LTD,RHE002,Environmental Services,Balance Sheet entry BS,6003,TRAINING COURSES YORK,HOLD A/C'S,Holding Accounts,9254,EHO Student Training Fund
West Wickham District Council,07/04/2017,156430,6740,KIRKBY STEPHEN TOWN COUNCIL,KIR014,Technical Services Manager,Grants and contributions,2079,STREET CLEANING GRANT 17/18,STRCLE,Street Cleaning,2250,Street Cleaning Kirkby Stephen PC
West Wickham District Council,07/04/2017,156431,2180,SHAP PARISH COUNCIL,SHA008,Technical Services Manager,Grants and contributions,2079,STREET CLEANING GRANT 17/18,STRCLE,Street Cleaning,2251,Street Cleaning Shap Parish Council
West Wickham District Council,07/04/2017,156441,709.75,BRITISH GAS BUSINESS,BRI032,Technical Services Manager,Gas,1023,TOWN HALL FEB 17,ADMBLD,Administrative Buildings,500,Town Hall
West Wickham District Council,07/04/2017,156448,1895.94,VODAFONE BUSINESS SOLUTIONS,VOD002,Information Technology Manager,Mobile telephone,2057,PART PAYMENT 3 INVOICES,INFTEC,Information Technology,102,Information Technology
West Wickham District Council,07/04/2017,156458,2000,NEOPOST LIMITED,NEO001,Corporate Services Manager,Postages,2054,FRANKING REFILL,CENTRA,Central Expenses,205,Postages Town Hall
West Wickham District Council,07/04/2017,156549,680,Redacted Infromation,HOR012,Finance Director,Grants and contributions,2079,PLFRG EDC16009 4TH PAY,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,07/04/2017,156550,660,Redacted Infromation,HOR012,Finance Director,Grants and contributions,2079,PLFRG EDC16009 5TH PAY,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,07/04/2017,155374,3705.75,MLL TELECOM LTD,MLL001,Information Technology Manager,IT Contracts & Maintenance,2062,RENTAL JAN - MARCH 2017,INFTEC,Information Technology,102,Information Technology
West Wickham District Council,07/04/2017,156297,-1229,MLL TELECOM LTD,MLL001,Information Technology Manager,IT Contracts & Maintenance,2062,CREDIT FOR CONNECTION ISSUES,INFTEC,Information Technology,102,Information Technology
